invoice_number,customer_name,due_date,total,balance,status,is_emailed,organization
INV-056369,Nevius Entreprises LLC,2024-12-20,46.0,46.0,overdue,True,GoFleet Corporation
INV-056367,A United International Inc,2024-12-20,36.05,36.05,overdue,True,GoFleet Corporation
INV-056343,VLocity Group,2024-12-20,530.45,530.45,overdue,True,GoFleet Corporation
INV-056321,Har-Cor Construction Ltd,2024-12-19,36.8,36.8,overdue,True,GoFleet Corporation
INV-056254,Jl Transportation LLC,2024-12-16,23.0,23.0,overdue,True,GoFleet Corporation
INV-056253,SKO Logistics,2024-12-16,23.69,23.69,overdue,True,GoFleet Corporation
INV-056251,GoWrench,2024-12-16,45.2,45.2,overdue,True,GoFleet Corporation
INV-056127,Midnight Hauling,2024-12-12,36.0,36.0,overdue,True,GoFleet Corporation
INV-056125,Dedicated Boundless LLC,2024-12-12,21.0,21.0,overdue,True,GoFleet Corporation
INV-056120,Mansha Transport & Logistics Inc,2024-12-12,120.02,120.02,overdue,True,GoFleet Corporation
INV-056114,S & M Trucking Trans LLC,2024-12-12,28.84,28.84,overdue,True,GoFleet Corporation
INV-056054,Gordon Devauld Trucking,2024-12-09,76.38,76.38,overdue,True,GoFleet Corporation
INV-056047,Hiller Truck Tech Inc.,2024-12-09,33.9,33.9,overdue,True,GoFleet Corporation
INV-055973,EVERGLADES HARVESTING INC,2024-12-07,350.0,350.0,overdue,True,GoFleet Corporation
INV-055910,BSides Logistics,2024-11-05,23.0,23.0,overdue,True,GoFleet Corporation
INV-055827,Damas Logistics LLC,2024-11-02,23.69,23.69,overdue,True,GoFleet Corporation
INV-055826,AJ Sabbath Logistics LLC,2024-12-02,23.69,23.69,overdue,True,GoFleet Corporation
INV-055771,"Goat Transport & Logistics, Inc",2024-12-01,25.0,25.0,overdue,True,GoFleet Corporation
INV-055705,CR&R Waste,2024-11-30,1831.0,1831.0,overdue,True,GoFleet Corporation
INV-055682,KRK HAULING AND TRANSPORTING LLC,2024-11-29,51.4,51.4,overdue,True,GoFleet Corporation
INV-055642,Mag Mile Logistic,2024-11-28,46.0,46.0,overdue,True,GoFleet Corporation
INV-055577,Mtr Logistics LLC,2024-11-26,30.0,30.0,overdue,True,GoFleet Corporation
INV-055530,Aecon Utilities (US) Ltd.,2024-11-24,10.0,10.0,overdue,True,GoFleet Corporation
INV-055513,"Maroon Group, LLC",2024-11-24,187.9,187.9,overdue,True,GoFleet Corporation
INV-055490,Dufresne Furniture,2024-11-23,145.6,145.6,overdue,True,GoFleet Corporation
INV-055484,CR&R Waste,2024-11-23,18230.5,18230.5,overdue,True,GoFleet Corporation
INV-055440,Myrlene - Leyana Trucking LLC,2024-11-23,71.02,71.02,overdue,True,GoFleet Corporation
INV-055404,Miller Waste Systems,2024-11-21,258.77,258.77,overdue,True,GoFleet Corporation
INV-055356,Rebuild Transportation LLC,2024-11-20,20.6,20.6,overdue,True,GoFleet Corporation
INV-055351,J & M Towing,2024-11-20,25.75,25.75,overdue,True,GoFleet Corporation
INV-055338,Nevius Entreprises LLC,2024-11-19,46.0,46.0,overdue,True,GoFleet Corporation
INV-055335,A United International Inc,2024-11-19,36.05,36.05,overdue,True,GoFleet Corporation
INV-055290,Har-Cor Construction Ltd,2024-11-18,36.8,30.4,overdue,True,GoFleet Corporation
INV-055214,Jl Transportation LLC,2024-11-15,23.0,23.0,overdue,True,GoFleet Corporation
INV-055210,GoWrench,2024-11-15,45.2,45.2,overdue,True,GoFleet Corporation
INV-055092,Midnight Hauling,2024-11-11,36.0,36.0,overdue,True,GoFleet Corporation
INV-055090,Dedicated Boundless LLC,2024-11-11,21.0,21.0,overdue,True,GoFleet Corporation
INV-055085,Mansha Transport & Logistics Inc,2024-11-11,120.02,120.02,overdue,True,GoFleet Corporation
INV-055078,S & M Trucking Trans LLC,2024-11-11,28.84,28.84,overdue,True,GoFleet Corporation
INV-055062,CR&R Waste,2024-11-10,2081.5,2081.5,overdue,True,GoFleet Corporation
INV-055048,HDM Transportation,2024-11-10,33.94,33.94,overdue,True,GoFleet Corporation
INV-054996,Gordon Devauld Trucking,2024-11-08,76.38,76.38,overdue,True,GoFleet Corporation
INV-054989,Hiller Truck Tech Inc.,2024-11-08,33.9,33.9,overdue,True,GoFleet Corporation
INV-054974,Shockwave services llc,2024-11-08,118.77,118.77,overdue,True,GoFleet Corporation
INV-054964,Riverside Concrete Forming,2024-11-08,946.94,946.94,overdue,True,GoFleet Corporation
INV-054849,BSides Logistics,2024-10-05,23.0,23.0,overdue,True,GoFleet Corporation
INV-054752,AJ Sabbath Logistics LLC,2024-11-01,23.69,23.69,overdue,True,GoFleet Corporation
INV-054719,"Goat Transport & Logistics, Inc",2024-10-31,25.0,25.0,overdue,True,GoFleet Corporation
INV-054658,KRK HAULING AND TRANSPORTING LLC,2024-10-30,51.4,51.4,overdue,True,GoFleet Corporation
INV-054617,Dedicated Transport Inc.,2024-10-29,27.12,27.12,overdue,True,GoFleet Corporation
INV-054606,Mag Mile Logistic,2024-10-29,46.0,46.0,overdue,True,GoFleet Corporation
INV-054539,Mtr Logistics LLC,2024-10-27,30.0,30.0,overdue,True,GoFleet Corporation
INV-054481,Aecon Utilities (US) Ltd.,2024-10-25,10.0,10.0,overdue,True,GoFleet Corporation
INV-054435,Myrlene - Leyana Trucking LLC,2024-10-24,71.02,71.02,overdue,True,GoFleet Corporation
INV-054356,Rebuild Transportation LLC,2024-10-21,20.6,20.6,overdue,True,GoFleet Corporation
INV-054351,J & M Towing,2024-10-21,25.75,25.75,overdue,True,GoFleet Corporation
INV-054331,A United International Inc,2024-10-20,36.05,36.05,overdue,True,GoFleet Corporation
INV-054194,Jl Transportation LLC,2024-10-16,23.0,23.0,overdue,True,GoFleet Corporation
INV-054190,GoWrench,2024-10-16,45.2,45.2,overdue,True,GoFleet Corporation
INV-054062,Midnight Hauling,2024-10-12,36.0,36.0,overdue,True,GoFleet Corporation
INV-054060,Dedicated Boundless LLC,2024-10-12,21.0,21.0,overdue,True,GoFleet Corporation
INV-054053,Mansha Transport & Logistics Inc,2024-10-12,120.02,120.02,overdue,True,GoFleet Corporation
INV-054046,S & M Trucking Trans LLC,2024-10-12,28.84,28.84,overdue,True,GoFleet Corporation
INV-054018,HDM Transportation,2024-10-11,33.94,33.94,overdue,True,GoFleet Corporation
INV-053983,"Safebus Technologies, Inc.",2024-10-10,90.64,90.64,overdue,True,GoFleet Corporation
INV-053974,Gordon Devauld Trucking,2024-10-09,76.38,76.38,overdue,True,GoFleet Corporation
INV-053967,Hiller Truck Tech Inc.,2024-10-09,33.9,33.9,overdue,True,GoFleet Corporation
INV-053952,Shockwave services llc,2024-10-09,118.77,118.77,overdue,True,GoFleet Corporation
INV-053841,BSides Logistics,2024-09-05,23.0,23.0,overdue,True,GoFleet Corporation
INV-053823,Ojeda’s Transport LLC,2024-10-04,23.69,23.69,overdue,True,GoFleet Corporation
INV-053781,Darrick Divine,2024-10-03,600.0,600.0,overdue,True,GoFleet Corporation
INV-053742,AJ Sabbath Logistics LLC,2024-10-02,23.69,23.69,overdue,True,GoFleet Corporation
INV-053711,"Goat Transport & Logistics, Inc",2024-10-01,25.0,25.0,overdue,True,GoFleet Corporation
INV-053642,CR&R Waste,2024-09-29,1670.1,1670.1,overdue,True,GoFleet Corporation
INV-053640,CR&R Waste,2024-09-29,1670.1,1670.1,overdue,True,GoFleet Corporation
INV-053638,KRK HAULING AND TRANSPORTING LLC,2024-09-29,51.4,51.4,overdue,True,GoFleet Corporation
INV-053570,CR&R Waste,2024-09-27,1670.1,1670.1,overdue,True,GoFleet Corporation
INV-053569,CR&R Waste,2024-09-27,1670.1,1670.1,overdue,True,GoFleet Corporation
INV-053568,CR&R Waste,2024-09-27,1670.1,1670.1,overdue,True,GoFleet Corporation
INV-053567,CR&R Waste,2024-09-27,1670.1,1670.1,overdue,True,GoFleet Corporation
INV-053566,CR&R Waste,2024-09-27,1670.1,1670.1,overdue,True,GoFleet Corporation
INV-053565,CR&R Waste,2024-09-27,1670.1,1670.1,overdue,True,GoFleet Corporation
INV-053564,CR&R Waste,2024-09-27,1670.1,1670.1,overdue,True,GoFleet Corporation
INV-053497,Cinmar Group Inc.,2024-08-26,596.64,596.64,overdue,True,GoFleet Corporation
INV-053426,Myrlene - Leyana Trucking LLC,2024-09-23,71.02,71.02,overdue,True,GoFleet Corporation
INV-053373,JCV Transport,2024-08-22,25.7,25.7,overdue,True,GoFleet Corporation
INV-053324,TEST,2024-09-20,2.5,2.5,overdue,False,GoFleet Corporation
INV-053305,T Coleman Trucking LLC,2024-08-21,23.96,23.96,overdue,True,GoFleet Corporation
INV-053298,Rebuild Transportation LLC,2024-09-20,20.6,20.6,overdue,True,GoFleet Corporation
INV-053293,J & M Towing,2024-09-20,25.75,25.75,overdue,True,GoFleet Corporation
INV-053267,A United International Inc,2024-09-19,36.05,36.05,overdue,True,GoFleet Corporation
INV-053229,Test ZN 55,2024-09-18,4.29,2.29,overdue,False,GoFleet Corporation
INV-053136,Jl Transportation LLC,2024-09-15,23.0,23.0,overdue,True,GoFleet Corporation
INV-053132,GoWrench,2024-09-15,45.2,45.2,overdue,True,GoFleet Corporation
INV-053106,Optic Light and Contracting,2024-09-14,3360.0,3360.0,overdue,True,GoFleet Corporation
INV-053007,Dedicated Boundless LLC,2024-09-11,21.0,21.0,overdue,True,GoFleet Corporation
INV-053002,Mansha Transport & Logistics Inc,2024-09-11,120.02,120.02,overdue,True,GoFleet Corporation
INV-052995,S & M Trucking Trans LLC,2024-09-11,28.84,28.84,overdue,True,GoFleet Corporation
INV-052928,Hiller Truck Tech Inc.,2024-09-08,33.9,33.9,overdue,True,GoFleet Corporation
INV-052912,Shockwave services llc,2024-09-08,118.77,118.77,overdue,True,GoFleet Corporation
INV-052832,Miller Time Trucking,2024-08-06,391.4,391.4,overdue,True,GoFleet Corporation
INV-052715,AJ Sabbath Logistics LLC,2024-09-01,23.69,23.69,overdue,True,GoFleet Corporation
INV-052683,"Goat Transport & Logistics, Inc",2024-08-31,25.0,25.0,overdue,True,GoFleet Corporation
INV-052606,KRK HAULING AND TRANSPORTING LLC,2024-08-29,51.4,51.4,overdue,True,GoFleet Corporation
INV-052541,Cinmar Group Inc.,2024-07-29,27.12,27.12,overdue,True,GoFleet Corporation
INV-052443,NS Transport Logistics Inc,2024-08-25,207.72,207.72,overdue,True,GoFleet Corporation
INV-052360,CR&R Waste,2024-08-22,1220.0,1220.0,overdue,True,GoFleet Corporation
INV-052359,CR&R Waste,2024-08-22,1220.0,1220.0,overdue,True,GoFleet Corporation
INV-052321,JCV Transport,2024-07-22,25.7,25.7,overdue,True,GoFleet Corporation
INV-052286,T Coleman Trucking LLC,2024-07-21,23.96,23.96,overdue,True,GoFleet Corporation
INV-052283,Optic Light and Contracting,2024-08-20,210.0,210.0,overdue,True,GoFleet Corporation
INV-052274,J & M Towing,2024-08-20,25.75,25.75,overdue,True,GoFleet Corporation
INV-052259,A United International Inc,2024-08-19,36.05,36.05,overdue,True,GoFleet Corporation
INV-052194,CR&R Waste,2024-08-17,735.0,735.0,overdue,True,GoFleet Corporation
INV-052098,Hayden’s trucking,2024-08-14,1587.0,1238.38,overdue,True,GoFleet Corporation
INV-051999,Mansha Transport & Logistics Inc,2024-08-11,120.02,120.02,overdue,True,GoFleet Corporation
INV-051992,S & M Trucking Trans LLC,2024-08-11,28.84,28.84,overdue,True,GoFleet Corporation
INV-051944,CR&R Waste,2024-08-09,1648.0,1648.0,overdue,True,GoFleet Corporation
INV-051943,CR&R Waste,2024-08-09,1648.0,1648.0,overdue,True,GoFleet Corporation
INV-051942,CR&R Waste,2024-08-09,1648.0,1648.0,overdue,True,GoFleet Corporation
INV-051941,CR&R Waste,2024-08-09,1648.0,1648.0,overdue,True,GoFleet Corporation
INV-051940,CR&R Waste,2024-08-09,1648.0,1648.0,overdue,True,GoFleet Corporation
INV-051923,"Safebus Technologies, Inc.",2024-08-09,183.34,183.34,overdue,True,GoFleet Corporation
INV-051904,Hiller Truck Tech Inc.,2024-08-08,33.9,33.9,overdue,True,GoFleet Corporation
INV-051888,Shockwave services llc,2024-08-08,118.77,118.77,overdue,True,GoFleet Corporation
INV-051683,AJ Sabbath Logistics LLC,2024-08-01,23.69,23.69,overdue,True,GoFleet Corporation
INV-051577,KRK HAULING AND TRANSPORTING LLC (CAD-DO NOT USE),2024-07-30,51.4,51.4,overdue,True,GoFleet Corporation
INV-051549,Cinmar Group Inc.,2024-06-29,27.12,27.12,overdue,True,GoFleet Corporation
INV-051436,Miller Waste Systems,2024-07-26,248.6,248.6,overdue,True,GoFleet Corporation
INV-051430,CR&R Waste,2024-07-26,1930.0,1930.0,overdue,True,GoFleet Corporation
INV-051357,Myrlene - Leyana Trucking LLC,2024-07-24,71.02,71.02,overdue,True,GoFleet Corporation
INV-051312,JCV Transport (CAD-DO NOT USE),2024-07-22,25.7,25.7,overdue,True,GoFleet Corporation
INV-051278,Geda JLI Inc,2024-07-21,623.76,623.76,overdue,True,GoFleet Corporation
INV-051272,Optic Light and Contracting,2024-07-21,210.0,210.0,overdue,True,GoFleet Corporation
INV-051263,J & M Towing,2024-07-21,25.75,25.75,overdue,True,GoFleet Corporation
INV-051139,Terra Contracting,2024-07-17,339.0,339.0,overdue,True,GoFleet Corporation
INV-051134,CR&R Waste,2024-07-17,480.32,480.32,overdue,True,GoFleet Corporation
INV-050924,"Safebus Technologies, Inc.",2024-07-10,183.34,183.34,overdue,True,GoFleet Corporation
INV-050913,Hiller Truck Tech Inc.,2024-07-09,33.9,33.9,overdue,True,GoFleet Corporation
INV-050897,Shockwave services llc,2024-07-09,118.77,118.77,overdue,True,GoFleet Corporation
INV-050802,Helios Transport Ltd,2024-07-06,571.78,161.52,overdue,True,GoFleet Corporation
INV-050669,AJ Sabbath Logistics LLC,2024-07-02,23.69,23.69,overdue,True,GoFleet Corporation
INV-050578,dnata,2025-04-11,3420.0,3420.0,overdue,False,GoFleet Corporation
INV-050577,dnata,2024-07-15,4820.0,4820.0,overdue,False,GoFleet Corporation
INV-050576,dnata,2024-07-15,510.0,510.0,overdue,False,GoFleet Corporation
INV-050574,dnata,2024-07-15,3130.0,3130.0,overdue,False,GoFleet Corporation
INV-050573,dnata,2024-07-15,7500.0,7500.0,overdue,False,GoFleet Corporation
INV-050536,KRK HAULING AND TRANSPORTING LLC (CAD-DO NOT USE),2024-06-29,51.4,51.4,overdue,True,GoFleet Corporation
INV-050534,Innovative Injection Technologies,2024-06-29,6.18,6.18,overdue,True,GoFleet Corporation
INV-050347,Nest Movers,2024-06-23,53.08,53.08,overdue,True,GoFleet Corporation
INV-050291,JCV Transport (CAD-DO NOT USE),2024-06-21,25.7,25.7,overdue,True,GoFleet Corporation
INV-050269,T Coleman Trucking LLC,2024-05-21,23.96,23.96,overdue,True,GoFleet Corporation
INV-050266,Optic Light and Contracting,2024-06-20,210.0,210.0,overdue,True,GoFleet Corporation
INV-050237,Geda JLI Inc,2024-06-19,53.08,53.08,overdue,True,GoFleet Corporation
INV-049906,Miller Waste Systems,2024-06-08,659.3,659.3,overdue,True,GoFleet Corporation
INV-049892,Hiller Truck Tech Inc.,2024-06-08,45.2,45.2,overdue,True,GoFleet Corporation
INV-049873,Shockwave services llc,2024-06-08,118.77,118.77,overdue,True,GoFleet Corporation
INV-049854,Clark's Transportation LLC,2024-06-07,437.0,437.0,overdue,True,GoFleet Corporation
INV-049662,AJ Sabbath Logistics LLC,2024-06-01,23.69,23.69,overdue,True,GoFleet Corporation
INV-049307,Nest Movers,2024-05-24,53.08,6.9,overdue,True,GoFleet Corporation
INV-049175,JCV Transport (CAD-DO NOT USE),2024-05-22,25.7,25.7,overdue,True,GoFleet Corporation
INV-049156,T Coleman Trucking LLC,2024-04-21,23.96,23.96,overdue,True,GoFleet Corporation
INV-049153,Optic Light and Contracting,2024-05-21,210.0,210.0,overdue,True,GoFleet Corporation
INV-049125,Geda JLI Inc,2024-05-20,53.08,53.08,overdue,True,GoFleet Corporation
INV-049060,WFT Trucking LLC,2024-04-18,394.8,394.8,overdue,True,GoFleet Corporation
INV-049011,Speedy Transport Group Inc.,2024-05-17,1107.4,1107.4,overdue,True,GoFleet Corporation
INV-048867,WFT Trucking LLC,2024-05-13,18.8,18.8,overdue,True,GoFleet Corporation
INV-048810,Clark's Transportation LLC,2024-05-11,23.0,23.0,overdue,True,GoFleet Corporation
INV-048723,Hiller Truck Tech Inc.,2024-05-09,45.2,45.2,overdue,True,GoFleet Corporation
INV-048701,Shockwave services llc,2024-05-09,118.77,118.77,overdue,True,GoFleet Corporation
INV-048088,JCV Transport (CAD-DO NOT USE),2024-04-21,25.7,25.7,overdue,True,GoFleet Corporation
INV-048061,Optic Light and Contracting,2024-04-20,210.0,210.0,overdue,True,GoFleet Corporation
INV-048028,Geda JLI Inc,2024-04-19,53.08,53.08,overdue,True,GoFleet Corporation
INV-047960,dnata,2024-03-31,7544.22,7544.22,overdue,False,GoFleet Corporation
INV-047817,CR&R Waste,2024-04-13,1000.0,1000.0,overdue,True,GoFleet Corporation
INV-047816,CR&R Waste,2024-04-13,1000.0,1000.0,overdue,True,GoFleet Corporation
INV-047815,CR&R Waste,2024-04-13,1000.0,1000.0,overdue,True,GoFleet Corporation
INV-047763,CR&R Waste,2024-04-12,1814.0,1814.0,overdue,True,GoFleet Corporation
INV-047756,WFT Trucking LLC,2024-04-12,18.8,18.8,overdue,True,GoFleet Corporation
INV-047702,"HNE LOGISTICS, LLC",2024-04-10,399.2,399.2,overdue,False,GoFleet Corporation
INV-047660,"Safebus Technologies, Inc.",2024-04-09,183.34,183.34,overdue,True,GoFleet Corporation
INV-047549,"HNE LOGISTICS, LLC",2024-04-05,12.84,12.84,overdue,True,GoFleet Corporation
INV-047066,JCV Transport (CAD-DO NOT USE),2024-03-23,25.7,25.7,overdue,True,GoFleet Corporation
INV-047041,Optic Light and Contracting,2024-03-22,210.0,210.0,overdue,True,GoFleet Corporation
INV-047008,Geda JLI Inc,2024-03-21,53.08,53.08,overdue,True,GoFleet Corporation
INV-046790,WFT Trucking LLC,2024-03-14,18.8,18.8,overdue,True,GoFleet Corporation
INV-046560,"HNE LOGISTICS, LLC",2024-03-07,25.7,25.7,overdue,True,GoFleet Corporation
INV-046204,GREEN CEMENT FACTORY LLC,2024-01-29,330.0,330.0,overdue,True,GoFleet Corporation
INV-046006,dnata,2024-03-08,5000.0,5000.0,overdue,False,GoFleet Corporation
INV-046005,dnata,2024-03-08,1250.0,1250.0,overdue,False,GoFleet Corporation
INV-045943,Optic Light and Contracting,2024-02-20,210.0,210.0,overdue,True,GoFleet Corporation
INV-045435,"HNE LOGISTICS, LLC",2024-02-05,25.7,25.7,overdue,True,GoFleet Corporation
INV-045164,DNR Logistics LLC,2024-04-20,548.9,548.9,overdue,True,GoFleet Corporation
INV-044975,Optic Light and Contracting,2024-01-20,210.0,210.0,overdue,True,GoFleet Corporation
INV-044527,"HNE LOGISTICS, LLC",2024-01-05,25.7,25.7,overdue,True,GoFleet Corporation
INV-043865,Cascades Canada ULC,2023-12-15,62.15,62.15,overdue,True,GoFleet Corporation
INV-043813,Big O Trucking,2024-04-17,569.0,569.0,overdue,True,GoFleet Corporation
INV-043588,"HNE LOGISTICS, LLC",2023-12-06,25.7,25.7,overdue,True,GoFleet Corporation
INV-041886,Nevada Department of Transportation (NDOT),2023-10-13,12599.5,40.0,overdue,True,GoFleet Corporation
INV-041865,Heaven Express LLC,2023-10-13,123.3,8.66,overdue,True,GoFleet Corporation
INV-041678,CR&R Waste,2023-10-05,9450.0,7570.0,overdue,True,GoFleet Corporation
INV-039127,CR&R Waste,2023-07-15,1525.0,1525.0,overdue,True,GoFleet Corporation
INV-039072,Spectaire,2023-07-14,29.5,29.5,overdue,True,GoFleet Corporation
INV-038882,CR&R Waste,2023-07-05,661.0,661.0,overdue,True,GoFleet Corporation
INV-034719,"TrackCam, LLC",2023-02-18,339.0,339.0,overdue,True,GoFleet Corporation
INV-032887,Foss National Leasing Ltd.,2022-12-15,1336.65,535.87,overdue,False,GoFleet Corporation
INV-030760,CR&R Waste,2022-10-30,1112.97,109.97,overdue,True,GoFleet Corporation
INV-025737,CR&R Waste,2022-03-30,315.99,315.99,overdue,True,GoFleet Corporation
INV-023895,CR&R Waste,2022-01-19,90.58,90.58,overdue,True,GoFleet Corporation
INV-023786,CR&R Waste,2022-01-15,329.18,329.18,overdue,True,GoFleet Corporation
INV-016915,CR&R Waste,2021-05-15,614.96,506.23,overdue,True,GoFleet Corporation
