Invoice Number,Customer Name,Due Date,Amount Due,Status
INV-010759,Quixote Studios LLC,2025-04-07,4172.0,overdue
INV-010681,"CAL-STATE AUTO PARTS, INC. (T-Mobile Customer)",2025-04-22,1530.0,overdue
INV-010679,Premier Truck Group,2025-04-22,2937.44,overdue
INV-010678,DeNYSE Signage & Arcitectural Elements,2025-04-22,120.0,overdue
INV-010669,Locke Supply (T-Mobile Customer),2025-04-20,1295.0,overdue
INV-010666,"TrackCam, LLC",2025-04-19,4232.0,overdue
INV-010663,SkyTracksGPS LLC,2025-04-19,460.0,overdue
INV-010655,Velocity Rail Solution,2025-04-18,8335.0,overdue
INV-010648,Track and Talk,2025-04-15,57.0,overdue
INV-010640,"Kenworth Northeast Group, Inc.",2025-04-14,1370.0,overdue
INV-010638,Traxxis GPS Solutions,2025-04-13,415.0,overdue
INV-010636,Trulite Glass and Aluminum Solutions,2025-04-13,679.0,overdue
INV-010634,The Three C's Properties Inc,2025-04-13,300.0,overdue
INV-010633,Assetflo (Unique Partnership Agreement),2025-04-13,153.91,overdue
INV-010632,A#1Air,2025-04-13,3335.5,overdue
INV-010621,"TrackCam, LLC",2025-04-10,16414.7,overdue
INV-010619,Traxxis GPS Solutions,2025-04-09,40.0,overdue
INV-010613,Play Telematics / Eye Drivers,2025-04-08,319.13,overdue
INV-010608,ASAP Trucking Company LLC,2025-04-08,392.0,overdue
INV-010604,QES Pressure Control,2025-04-07,1590.0,overdue
INV-010592,Biomedical Waste Disposal (T-Mobile Client),2025-04-04,275.0,overdue
INV-010591,"H and H Drug Stores, Inc. (T-Mobile Client)",2025-04-04,100.0,overdue
INV-010587,Arjan Trans Inc (T-Mobile Client),2025-04-04,78.0,overdue
INV-010580,Outdoor Inc (T-Mobile Client),2025-04-03,200.0,overdue
INV-010577,ARTHOFER FINANCIAL,2025-04-02,15.0,overdue
INV-010571,"H and H Drug Stores, Inc. (T-Mobile Client)",2025-03-31,276.0,overdue
INV-010570,Secure Transportation,2025-03-31,160.0,overdue
INV-010547,Rush Enterprises,2025-03-30,30.0,overdue
INV-010538,Worldwide Recovery (T-Mobile Client),2025-03-29,240.0,overdue
INV-010505,Locke Supply (T-Mobile Customer),2025-03-23,1295.0,overdue
INV-010499,QSAC Inc,2025-03-22,2108.0,overdue
INV-010489,NY TRANSPORT INC (T-Mobile Client),2025-03-18,30.0,overdue
INV-010482,"Kenworth Northeast Group, Inc.",2025-03-17,1370.0,overdue
INV-010480,Assetflo (Unique Partnership Agreement),2025-03-16,153.91,overdue
INV-010460,Rapid Wireless,2025-03-12,288.25,overdue
INV-010454,Play Telematics / Eye Drivers,2025-03-11,269.15,overdue
INV-010401,"TrackCam, LLC",2025-03-05,365.0,overdue
INV-010394,"Geotab, Inc USD",2025-03-03,1356.0,overdue
INV-010392,Secure Transportation,2025-03-03,160.0,overdue
INV-010382,Metrica Movil,2025-03-02,975.08,overdue
INV-010377,Reseller Sub Account (Specialty Sales LLC),2025-03-01,45.2,overdue
INV-010366,Pulsiam Mexico,2025-02-28,38.5,overdue
INV-010359,Command International Security Services (T-Mobile Client),2025-02-27,24.0,overdue
INV-010351,EAGLEi GPS,2025-02-25,1291.82,overdue
INV-010321,Locke Supply (T-Mobile Customer),2025-02-20,1267.0,overdue
INV-010317,Extreme Electronics Corp,2025-02-19,2500.0,overdue
INV-010316,Traxxis GPS Solutions,2025-02-19,239.0,overdue
INV-010313,QSAC Inc,2025-02-19,2108.0,overdue
INV-010295,Lavish Lifestyles Concierge,2025-02-14,27.0,overdue
INV-010294,"Kenworth Northeast Group, Inc.",2025-02-14,1235.0,overdue
INV-010291,Assetflo (Unique Partnership Agreement),2025-02-13,205.21,overdue
INV-010286,VNH Enterprises (OLD Account - INACTIVE),2025-02-12,325.0,overdue
INV-010263,Texas Instruments Incorporated,2025-02-08,310.0,overdue
INV-010262,Texas Instruments Incorporated,2025-02-08,39.0,overdue
INV-010261,Texas Instruments Incorporated,2025-02-08,310.0,overdue
INV-010260,Texas Instruments Incorporated,2025-02-08,39.0,overdue
INV-010255,Topaz Tracking,2025-02-08,124.0,overdue
INV-010201,Pulsiam Mexico,2025-01-28,38.5,overdue
INV-010194,Command International Security Services (T-Mobile Client),2025-01-27,24.0,overdue
INV-010175,H.T. Hackney,2025-01-22,578.55,overdue
INV-010150,QSAC Inc,2025-01-19,2108.0,overdue
INV-010132,Lavish Lifestyles Concierge,2025-01-14,27.0,overdue
INV-010107,Topaz Tracking,2025-01-08,124.0,overdue
INV-010026,Pulsiam Mexico,2024-12-29,38.5,overdue
INV-010019,Command International Security Services (T-Mobile Client),2024-12-28,24.0,overdue
INV-009977,QSAC Inc,2024-12-20,2108.0,overdue
INV-009960,Lavish Lifestyles Concierge,2024-12-15,70.0,overdue
INV-009952,Texas Instruments Incorporated,2024-12-13,54.21,overdue
INV-009941,Merchants Fleet - Christensen Farms,2024-11-10,132.0,overdue
INV-009934,Topaz Tracking,2024-12-09,124.0,overdue
INV-009888,Traxxis GPS Solutions,2024-12-01,332.5,overdue
INV-009870,Traxxis GPS Solutions,2024-11-29,8812.5,overdue
INV-009862,"TrackCam, LLC",2025-02-03,800.0,overdue
INV-009859,Pulsiam Mexico,2024-11-28,38.5,overdue
INV-009851,Command International Security Services (T-Mobile Client),2024-11-27,24.0,overdue
INV-009810,QSAC Inc,2024-11-19,2108.0,overdue
INV-009804,VNH Enterprises (OLD Account - INACTIVE),2024-11-17,2052.0,overdue
INV-009789,Lavish Lifestyles Concierge,2024-11-14,70.0,overdue
INV-009749,Topaz Tracking,2024-11-08,124.0,overdue
INV-009679,Command International Security Services (T-Mobile Client),2024-10-28,24.0,overdue
INV-009642,Traxxis GPS Solutions,2024-10-23,65.0,overdue
INV-009592,Lavish Lifestyles Concierge,2024-10-15,70.0,overdue
INV-009562,Topaz Tracking,2024-10-09,124.0,overdue
INV-009547,"DICAN, Inc.",2024-10-21,156.3,overdue
INV-009491,Pulsiam Mexico,2024-08-27,355.0,overdue
INV-009469,Traxxis GPS Solutions,2024-09-21,40.0,overdue
INV-009429,Lavish Lifestyles Concierge,2024-09-14,70.0,overdue
INV-009405,Topaz Tracking,2024-09-08,124.0,overdue
INV-009267,Traxxis GPS Solutions,2024-08-14,265.0,overdue
INV-009259,Lavish Lifestyles Concierge,2024-08-14,70.0,overdue
INV-009231,Topaz Tracking,2024-08-08,124.0,overdue
INV-009103,Traxxis GPS Solutions,2024-07-18,330.0,overdue
INV-009083,Lavish Lifestyles Concierge,2024-07-15,70.0,overdue
INV-009056,Topaz Tracking,2024-07-09,124.0,overdue
INV-008907,Lavish Lifestyles Concierge,2024-06-14,70.0,overdue
INV-008884,Traxxis GPS Solutions,2024-06-08,505.0,overdue
INV-008538,AutoSonics INC,2024-03-19,210.0,overdue
INV-008533,"TrackCam, LLC",2024-04-18,395.0,overdue
INV-008289,Traxxis GPS Solutions,2024-03-06,495.0,overdue
INV-008186,"TrackCam, LLC",2024-02-18,340.0,overdue
INV-008182,"TrackCam, LLC",2024-02-18,365.0,overdue
INV-008180,"TrackCam, LLC",2024-02-18,365.0,overdue
INV-008059,"TrackCam, LLC",2024-01-28,420.0,overdue
INV-007684,Traxxis GPS Solutions,2023-11-22,45.0,overdue
INV-007582,VNH Enterprises (OLD Account - INACTIVE),2023-11-02,290.16,overdue
INV-007131,Traxxis GPS Solutions,2023-08-16,75.0,overdue
INV-006984,Traxxis GPS Solutions,2023-07-20,75.0,overdue
INV-006831,Traxxis GPS Solutions,2023-06-23,45.0,overdue
INV-006215,VNH Enterprises (OLD Account - INACTIVE),2023-03-03,527.0,overdue
